,Season,Competition,Club,Against,Date,Minute,Goalkeeper,Success?,Score at this moment,Final result,Foot,Area
91,14/15,LaLiga,Real Madrid,Elche CF,2014-09-23,80,Manu Herrera,1,4:1,5:1,r,2
92,14/15,LaLiga,Real Madrid,Atlético de Madrid,2014-09-13,25,Miguel Ángel Moyá,1,1:1,1:2,r,1
93,13/14,UEFA Champions League,Real Madrid,Atlético de Madrid,2014-05-24,120,Thibaut Courtois,1,4:1,4:1,r,5
94,13/14,LaLiga,Real Madrid,FC Barcelona,2014-03-23,55,Víctor Valdés,1,3:2,3:4,r,1
95,13/14,Copa del Rey,Real Madrid,Atlético de Madrid,2014-02-11,15,Daniel Aranzubia,1,2:0,2:0,r,1
96,13/14,Copa del Rey,Real Madrid,Atlético de Madrid,2014-02-11,6,Daniel Aranzubia,1,1:0,2:0,r,1
97,13/14,UEFA Champions League,Real Madrid,FC Copenhagen,2013-12-10,90,Johan Sellberg-Wiland,0,2:0,2:0,r,3
98,13/14,LaLiga,Real Madrid,Real Sociedad,2013-11-09,27,Claudio Bravo,1,3:0,5:1,r,3
99,13/14,LaLiga,Real Madrid,Sevilla FC,2013-10-30,31,Beto,1,3:0,7:3,r,5
100,13/14,UEFA Champions League,Real Madrid,Juventus FC,2013-10-23,29,Gianluigi Buffon,1,2:1,2:1,r,2
101,13/14,LaLiga,Real Madrid,Málaga CF,2013-10-19,90,Willy Caballero,1,2:0,2:0,r,1
102,13/14,LaLiga,Real Madrid,Elche CF,2013-09-25,90,Manu Herrera,1,2:1,2:1,r,1
103,13/14,LaLiga,Real Madrid,Getafe CF,2013-09-22,34,Miguel Ángel Moyá,1,2:1,4:1,r,1
104,12/13,LaLiga,Real Madrid,Málaga CF,2013-05-08,22,Willy Caballero,0,1:1,6:2,r,3
105,12/13,LaLiga,Real Madrid,Celta de Vigo,2013-03-10,71,Javi Varas,1,2:1,2:1,r,4
106,12/13,Copa del Rey,Real Madrid,FC Barcelona,2013-02-26,12,José Manuel Pinto,1,1:0,3:1,r,1
107,12/13,LaLiga,Real Madrid,Getafe CF,2013-01-27,72,Miguel Ángel Moyá,1,4:0,4:0,r,1
108,12/13,LaLiga,Real Madrid,Celta de Vigo,2012-10-20,67,Sergio Álvarez,1,2:0,2:0,r,1
109,12/13,LaLiga,Real Madrid,Deportivo de La Coruña,2012-09-30,84,Daniel Aranzubia,1,5:1,5:1,r,1
110,12/13,LaLiga,Real Madrid,Deportivo de La Coruña,2012-09-30,23,Daniel Aranzubia,1,1:1,5:1,r,5
111,12/13,LaLiga,Real Madrid,Rayo Vallecano,2012-09-24,69,Rubén Martínez,1,2:0,2:0,r,5
112,11/12,International Friendlies,Portugal,Turkey,2012-06-02,65,Volkan Demirel,0,1:2,1:3,r,5
113,11/12,LaLiga,Real Madrid,Granada CF,2012-05-05,81,Júlio César,1,1:1,2:1,r,5
114,11/12,LaLiga,Real Madrid,Athletic Bilbao,2012-05-02,12,Gorka Iraizoz,0,0:0,3:0,r,3
115,11/12,UEFA Champions League,Real Madrid,Bayern Munich,2012-04-25,6,Manuel Neuer,1,1:0,3:4,r,5
116,11/12,LaLiga,Real Madrid,Atlético de Madrid,2012-04-11,82,Thibaut Courtois,1,3:1,4:1,r,1
117,11/12,LaLiga,Real Madrid,Levante UD,2012-02-12,45,Gustavo Munúa,1,1:1,4:2,r,6
118,11/12,LaLiga,Real Madrid,Athletic Bilbao,2012-01-22,67,Gorka Iraizoz,1,3:1,4:1,r,1
119,11/12,LaLiga,Real Madrid,Athletic Bilbao,2012-01-22,46,Gorka Iraizoz,1,2:1,4:1,r,2
120,11/12,LaLiga,Real Madrid,Sevilla FC,2011-12-17,86,Javi Varas,1,5:1,6:2,r,5
121,11/12,LaLiga,Real Madrid,Atlético de Madrid,2011-11-26,82,Sergio Asenjo,1,4:1,4:1,r,1
122,11/12,LaLiga,Real Madrid,Atlético de Madrid,2011-11-26,24,Sergio Asenjo,1,1:1,4:1,r,1
123,11/12,LaLiga,Real Madrid,CA Osasuna,2011-11-06,55,Andrés Fernández,1,4:1,7:1,r,5
124,11/12,UEFA Champions League,Real Madrid,Olympique Lyon,2011-11-02,69,Hugo Lloris,1,2:0,2:0,r,4
125,11/12,LaLiga,Real Madrid,Rayo Vallecano,2011-09-24,51,Dani Giménez,1,3:1,6:2,r,2
126,11/12,LaLiga,Real Madrid,Rayo Vallecano,2011-09-24,84,Dani Giménez,1,6:2,6:2,r,4
127,11/12,LaLiga,Real Madrid,Getafe CF,2011-09-10,59,Miguel Ángel Moyá,1,2:1,4:2,r,5
128,10/11,European Qualifiers,Portugal,Cyprus,2011-09-02,35,Antonis Georgallidis,1,1:0,4:0,r,1
129,10/11,LaLiga,Real Madrid,Getafe CF,2011-05-10,90,Óscar Ustari,1,4:0,4:0,r,4
130,10/11,LaLiga,Real Madrid,FC Barcelona,2011-04-16,82,Víctor Valdés,1,1:1,1:1,r,6
131,10/11,LaLiga,Real Madrid,Málaga CF,2011-03-03,67,Willy Caballero,1,6:0,7:0,r,2
132,10/11,LaLiga,Real Madrid,Getafe CF,2011-01-03,11,Jordi Codina,1,1:0,3:2,r,1
133,10/11,UEFA Champions League,Real Madrid,Ajax Amsterdam,2010-11-23,81,Maarten Stekelenburg,1,4:0,4:0,r,4
134,10/11,LaLiga,Real Madrid,Athletic Bilbao,2010-11-20,90,Gorka Iraizoz,1,5:1,5:1,r,1
135,10/11,LaLiga,Real Madrid,Racing Santander,2010-10-23,55,Toño,1,5:0,6:1,r,5
136,10/11,LaLiga,Real Madrid,Málaga CF,2010-10-16,50,Galatto,1,3:0,4:1,r,1
137,10/11,LaLiga,Real Madrid,RCD Espanyol Barcelona,2010-09-21,28,Carlos Kameni,1,1:0,3:0,r,1
138,09/10,LaLiga,Real Madrid,Athletic Bilbao,2010-05-08,21,Gorka Iraizoz,1,1:0,5:1,r,5
139,09/10,LaLiga,Real Madrid,Racing Santander,2010-04-04,23,Fabio Coltorti,1,1:0,2:0,r,1
